name,state,stream,fees,student_rating,placement_rate,industry_tieups,location
Birla Institute of Technology and Science,Maharashtra,Arts,248068,4.7,71,No,Rural
Indian Institute of Management Ahmedabad,Haryana,Engineering,137993,3.2,57,Yes,Urban
Shiv Nadar University,Andhra Pradesh,Science,270305,3.0,52,Yes,Rural
Indian Institute of Science,Punjab,Engineering,140003,4.2,53,Yes,Rural
Amity University,Delhi,Commerce,376888,4.5,85,No,Semi-Urban
Christ University,West Bengal,Management,230140,2.9,52,Yes,Urban
Delhi Technological University,Uttar Pradesh,Pharmacy,480040,3.9,45,Yes,Rural
Jamia Millia Islamia,Odisha,Science,223824,4.7,79,Yes,Semi-Urban
Indian Institute of Management Ahmedabad,Maharashtra,Hotel-management,353035,3.2,77,Yes,Urban
Indian Institute of Technology Bombay,Karnataka,Management,61583,4.7,87,Yes,Rural
National Institute of Technology Trichy,Delhi,Engineering,433841,4.6,56,No,Semi-Urban
Narsee Monjee Institute of Management Studies,Uttar Pradesh,Commerce,267611,4.7,51,Yes,Semi-Urban
SRM Institute of Science and Technology,Odisha,Hotel-management,473687,3.2,45,No,Rural
Indian Institute of Science,Tamil Nadu,Hotel-management,129952,4.2,83,No,Rural
Symbiosis Institute of Business Management,Punjab,Arts,403777,4.1,66,No,Semi-Urban
SRM Institute of Science and Technology,Assam,Hotel-management,249420,3.4,52,No,Rural
National Institute of Technology Trichy,Assam,Arts,247908,3.4,87,Yes,Semi-Urban
Manipal Institute of Technology,Maharashtra,Pharmacy,423095,4.6,74,Yes,Rural
Indian Institute of Science,Maharashtra,Science,64499,4.3,45,No,Rural
Shiv Nadar University,Punjab,Science,438830,3.1,98,No,Rural
Vellore Institute of Technology,Gujarat,Management,331237,3.1,71,No,Rural
Anna University,Punjab,Management,242476,4.2,47,Yes,Urban
Christ University,Uttar Pradesh,Commerce,50103,4.4,72,No,Rural
University of Delhi,Rajasthan,Pharmacy,492080,3.6,97,Yes,Rural
SRM Institute of Science and Technology,Karnataka,Commerce,259455,2.8,81,Yes,Rural
Delhi Technological University,Punjab,Engineering,441625,4.3,53,No,Semi-Urban
Indian Institute of Technology Bombay,Uttar Pradesh,Medical,111064,4.4,46,No,Semi-Urban
Ashoka University,Bihar,Science,351083,4.2,47,Yes,Semi-Urban
Vellore Institute of Technology,Punjab,Engineering,121093,3.9,65,Yes,Semi-Urban
SRM Institute of Science and Technology,Maharashtra,Engineering,298059,3.9,45,No,Semi-Urban
Jamia Millia Islamia,Rajasthan,Engineering,100008,3.8,54,Yes,Semi-Urban
Manipal Institute of Technology,Karnataka,Arts,245468,4.6,53,No,Semi-Urban
Vellore Institute of Technology,Rajasthan,Commerce,130001,4.1,60,Yes,Rural
Banaras Hindu University,Odisha,Engineering,301549,4.9,66,Yes,Rural
National Institute of Technology Trichy,Madhya Pradesh,Hotel-management,295421,3.8,96,Yes,Urban
Amity University,West Bengal,Medical,185072,4.2,56,No,Rural
SRM Institute of Science and Technology,Rajasthan,Pharmacy,336718,4.7,98,Yes,Semi-Urban
Shiv Nadar University,Maharashtra,Commerce,114214,2.9,69,No,Rural
Jadavpur University,Odisha,Hotel-management,124586,3.4,69,No,Semi-Urban
Jamia Millia Islamia,Karnataka,Pharmacy,244920,3.9,61,Yes,Urban
Symbiosis Institute of Business Management,Haryana,Commerce,89251,3.9,68,Yes,Semi-Urban
Ashoka University,West Bengal,Arts,352494,3.6,87,No,Semi-Urban
Jamia Millia Islamia,Gujarat,Management,107920,4.8,52,Yes,Rural
Symbiosis Institute of Business Management,Assam,Management,176623,4.7,80,Yes,Rural
Manipal Institute of Technology,Andhra Pradesh,Engineering,305125,4.5,59,Yes,Semi-Urban
Manipal Institute of Technology,Odisha,Pharmacy,114124,3.7,94,No,Rural
Anna University,Delhi,Management,216177,2.9,98,No,Urban
Jamia Millia Islamia,Madhya Pradesh,Medical,80714,2.6,63,No,Rural
Birla Institute of Technology and Science,Rajasthan,Engineering,408083,2.8,77,No,Urban
Delhi Technological University,Delhi,Pharmacy,493184,4.5,94,Yes,Rural
Narsee Monjee Institute of Management Studies,Rajasthan,Engineering,239753,2.8,79,No,Rural
Jadavpur University,West Bengal,Commerce,147221,3.3,93,Yes,Rural
Indian Institute of Science,Karnataka,Commerce,223253,4.9,58,No,Semi-Urban
Narsee Monjee Institute of Management Studies,Odisha,Arts,100233,2.6,64,Yes,Urban
Indian Institute of Technology Bombay,Andhra Pradesh,Engineering,298662,3.1,49,No,Rural
Indian Institute of Science,Delhi,Hotel-management,57869,3.9,57,Yes,Rural
SRM Institute of Science and Technology,Delhi,Pharmacy,205998,4.7,50,No,Urban
Indian Institute of Science,Tamil Nadu,Pharmacy,163438,4.5,83,No,Urban
Manipal Institute of Technology,Punjab,Medical,329393,3.9,63,No,Rural
Indian Institute of Technology Bombay,Haryana,Commerce,121218,4.5,54,Yes,Rural
Symbiosis Institute of Business Management,Madhya Pradesh,Medical,117058,2.8,53,No,Semi-Urban
Jamia Millia Islamia,Haryana,Medical,106534,2.8,53,No,Rural
Christ University,Odisha,Management,199601,4.2,77,No,Rural
Christ University,Assam,Hotel-management,248375,4.0,64,Yes,Urban
Symbiosis Institute of Business Management,Tamil Nadu,Hotel-management,198473,4.5,86,No,Rural
Vellore Institute of Technology,Odisha,Commerce,185929,2.8,79,Yes,Semi-Urban
Amity University,Punjab,Arts,293912,3.3,72,Yes,Rural
Amity University,Uttar Pradesh,Pharmacy,237491,3.7,77,No,Semi-Urban
Indian Institute of Technology Bombay,Assam,Commerce,143590,3.5,70,Yes,Urban
Vellore Institute of Technology,Punjab,Commerce,398315,3.9,78,No,Rural
Delhi Technological University,Maharashtra,Management,80466,5.0,76,Yes,Semi-Urban
Vellore Institute of Technology,Gujarat,Arts,350873,3.7,78,Yes,Semi-Urban
Banaras Hindu University,Odisha,Hotel-management,272074,2.9,85,No,Semi-Urban
Indian Institute of Science,Haryana,Management,206757,4.8,58,No,Semi-Urban
SRM Institute of Science and Technology,Tamil Nadu,Management,430093,4.9,67,No,Semi-Urban
Symbiosis Institute of Business Management,West Bengal,Engineering,282198,2.8,75,Yes,Rural
Indian Institute of Science,Tamil Nadu,Management,235193,4.3,93,Yes,Semi-Urban
Symbiosis Institute of Business Management,Uttar Pradesh,Management,400765,2.6,61,No,Semi-Urban
Narsee Monjee Institute of Management Studies,Karnataka,Engineering,327039,3.7,47,Yes,Urban
Jadavpur University,Bihar,Science,243513,4.6,88,No,Rural
Banaras Hindu University,Bihar,Engineering,184422,3.6,63,No,Rural
SRM Institute of Science and Technology,Rajasthan,Management,416530,3.7,87,No,Semi-Urban
Christ University,Uttar Pradesh,Commerce,181596,4.0,55,No,Rural
Jamia Millia Islamia,Haryana,Management,387302,4.9,44,No,Urban
Narsee Monjee Institute of Management Studies,Maharashtra,Science,417272,4.5,56,Yes,Rural
Anna University,Andhra Pradesh,Medical,431399,3.5,60,No,Rural
Christ University,Andhra Pradesh,Hotel-management,460788,4.6,58,Yes,Urban
SRM Institute of Science and Technology,Punjab,Pharmacy,488709,5.0,54,No,Rural
Anna University,Haryana,Science,176956,5.0,52,Yes,Urban
Ashoka University,Punjab,Hotel-management,51264,4.0,53,No,Urban
SRM Institute of Science and Technology,Delhi,Engineering,233526,2.9,69,No,Urban
Banaras Hindu University,Rajasthan,Pharmacy,94428,2.9,40,Yes,Semi-Urban
Birla Institute of Technology and Science,Assam,Arts,67230,4.2,93,Yes,Semi-Urban
Banaras Hindu University,Assam,Commerce,232281,3.3,48,Yes,Urban
Jamia Millia Islamia,Delhi,Engineering,262360,3.4,77,No,Rural
University of Delhi,Gujarat,Engineering,221702,4.7,89,No,Rural
Jamia Millia Islamia,Maharashtra,Medical,169734,3.5,89,No,Semi-Urban
Vellore Institute of Technology,Andhra Pradesh,Management,72314,2.6,65,No,Rural
Delhi Technological University,Punjab,Commerce,429146,4.7,62,Yes,Rural
Shiv Nadar University,Andhra Pradesh,Management,281589,4.7,98,Yes,Urban
Christ University,Maharashtra,Commerce,194388,3.1,48,Yes,Rural
Narsee Monjee Institute of Management Studies,West Bengal,Medical,466726,4.2,45,No,Urban
National Institute of Technology Trichy,Gujarat,Hotel-management,312890,2.7,72,Yes,Semi-Urban
Amity University,Haryana,Pharmacy,366379,3.8,68,No,Semi-Urban
Delhi Technological University,Odisha,Engineering,339190,4.4,53,Yes,Urban
Narsee Monjee Institute of Management Studies,Madhya Pradesh,Medical,308389,4.5,89,Yes,Urban
Manipal Institute of Technology,Delhi,Hotel-management,214216,3.0,61,Yes,Urban
National Institute of Technology Trichy,Odisha,Medical,122846,4.1,48,Yes,Urban
Shiv Nadar University,Maharashtra,Engineering,189285,3.1,74,No,Semi-Urban
Birla Institute of Technology and Science,Rajasthan,Medical,227382,3.8,72,No,Rural
Indian Institute of Management Ahmedabad,Rajasthan,Hotel-management,323290,4.5,95,Yes,Semi-Urban
Jamia Millia Islamia,Uttar Pradesh,Medical,220952,3.6,83,No,Rural
Manipal Institute of Technology,Karnataka,Arts,333695,2.9,44,Yes,Semi-Urban
Narsee Monjee Institute of Management Studies,Madhya Pradesh,Engineering,219282,3.5,92,No,Rural
Vellore Institute of Technology,Delhi,Arts,373840,2.6,53,No,Urban
Narsee Monjee Institute of Management Studies,Maharashtra,Arts,385957,3.9,90,Yes,Urban
Manipal Institute of Technology,Andhra Pradesh,Hotel-management,102095,3.4,74,No,Urban
Symbiosis Institute of Business Management,Gujarat,Science,397967,4.3,92,Yes,Rural
National Institute of Technology Trichy,Assam,Science,369232,3.6,81,No,Semi-Urban
University of Delhi,Tamil Nadu,Management,334641,4.3,84,Yes,Rural
National Institute of Technology Trichy,Punjab,Management,95168,2.7,44,Yes,Semi-Urban
Vellore Institute of Technology,Delhi,Pharmacy,371095,3.7,82,Yes,Rural
Shiv Nadar University,Uttar Pradesh,Pharmacy,280355,4.5,67,No,Urban
Jadavpur University,Uttar Pradesh,Commerce,474039,4.2,49,Yes,Urban
Ashoka University,West Bengal,Arts,112278,4.3,62,Yes,Semi-Urban
Amity University,Andhra Pradesh,Science,71279,3.3,57,Yes,Urban
Delhi Technological University,Rajasthan,Arts,73166,3.6,83,No,Semi-Urban
University of Delhi,Bihar,Pharmacy,60507,4.9,69,Yes,Semi-Urban
National Institute of Technology Trichy,Assam,Management,496765,4.5,84,No,Semi-Urban
Banaras Hindu University,Delhi,Medical,88058,5.0,83,Yes,Semi-Urban
SRM Institute of Science and Technology,West Bengal,Management,103434,3.5,67,Yes,Urban
Jadavpur University,Assam,Pharmacy,301914,4.5,44,Yes,Rural
Vellore Institute of Technology,Madhya Pradesh,Engineering,76735,3.3,55,No,Semi-Urban
Indian Institute of Technology Bombay,Odisha,Commerce,247245,2.5,71,No,Semi-Urban
National Institute of Technology Trichy,Haryana,Management,382586,3.8,49,Yes,Semi-Urban
Jadavpur University,West Bengal,Medical,476262,3.6,79,No,Rural
Vellore Institute of Technology,Gujarat,Arts,417609,3.2,46,Yes,Semi-Urban
Indian Institute of Science,Madhya Pradesh,Science,94661,2.8,93,No,Urban
Manipal Institute of Technology,Assam,Science,278697,2.9,86,No,Semi-Urban
Christ University,Andhra Pradesh,Engineering,204662,4.0,40,Yes,Urban
Anna University,Uttar Pradesh,Science,243189,2.8,43,Yes,Urban
Banaras Hindu University,Tamil Nadu,Science,376227,2.8,55,Yes,Semi-Urban
Jadavpur University,Assam,Commerce,350574,3.0,75,Yes,Urban
Shiv Nadar University,Rajasthan,Arts,96253,3.4,73,No,Rural
Vellore Institute of Technology,Andhra Pradesh,Arts,461125,3.9,43,Yes,Rural
Anna University,Haryana,Management,114333,4.7,41,Yes,Rural
Jadavpur University,Tamil Nadu,Science,457334,4.4,87,Yes,Urban
Shiv Nadar University,Punjab,Commerce,272862,2.9,76,Yes,Rural
Christ University,Assam,Commerce,323033,4.2,44,Yes,Urban
SRM Institute of Science and Technology,Gujarat,Engineering,213755,4.3,57,Yes,Rural
Indian Institute of Management Ahmedabad,Tamil Nadu,Engineering,119113,4.0,84,Yes,Semi-Urban
SRM Institute of Science and Technology,Andhra Pradesh,Medical,216399,4.5,64,No,Semi-Urban
Amity University,Karnataka,Pharmacy,187082,4.5,40,Yes,Rural
Indian Institute of Technology Bombay,Uttar Pradesh,Medical,474189,4.4,48,Yes,Urban
National Institute of Technology Trichy,Bihar,Medical,201698,3.8,47,No,Urban
Manipal Institute of Technology,Punjab,Management,409931,3.0,42,No,Semi-Urban
University of Delhi,Karnataka,Engineering,241979,3.9,45,No,Semi-Urban
Birla Institute of Technology and Science,West Bengal,Management,57113,2.6,44,No,Urban
Banaras Hindu University,Delhi,Hotel-management,410251,4.5,91,No,Rural
Ashoka University,Andhra Pradesh,Management,189199,3.1,84,No,Urban
Symbiosis Institute of Business Management,Assam,Pharmacy,485247,4.1,78,Yes,Rural
Anna University,Andhra Pradesh,Medical,226757,3.9,63,Yes,Rural
Anna University,Assam,Commerce,214656,3.4,70,Yes,Semi-Urban
Banaras Hindu University,Karnataka,Medical,368463,5.0,96,Yes,Urban
Christ University,Haryana,Commerce,339232,3.5,46,Yes,Semi-Urban
Banaras Hindu University,Haryana,Science,160236,2.7,84,Yes,Semi-Urban
University of Delhi,Gujarat,Hotel-management,488834,2.7,44,No,Rural
SRM Institute of Science and Technology,Assam,Arts,292997,3.0,41,Yes,Urban
Vellore Institute of Technology,Andhra Pradesh,Commerce,213863,4.0,64,Yes,Semi-Urban
Jadavpur University,Punjab,Pharmacy,252490,2.6,91,No,Rural
Jadavpur University,Rajasthan,Hotel-management,391163,4.9,75,Yes,Rural
Jadavpur University,Andhra Pradesh,Medical,115764,3.8,81,Yes,Urban
SRM Institute of Science and Technology,Uttar Pradesh,Medical,174211,4.9,66,Yes,Urban
Manipal Institute of Technology,Bihar,Hotel-management,389362,4.5,67,Yes,Urban
SRM Institute of Science and Technology,West Bengal,Commerce,411086,4.1,78,No,Urban
Vellore Institute of Technology,Karnataka,Engineering,407161,4.7,52,Yes,Rural
Jadavpur University,Haryana,Commerce,225642,2.5,82,No,Rural
Indian Institute of Technology Bombay,Punjab,Pharmacy,378406,3.1,92,No,Rural
Ashoka University,Punjab,Management,142812,3.1,75,Yes,Urban
Indian Institute of Technology Bombay,Uttar Pradesh,Pharmacy,437396,4.7,53,No,Semi-Urban
Amity University,Delhi,Engineering,418655,2.6,64,Yes,Semi-Urban
National Institute of Technology Trichy,Odisha,Management,218036,3.7,77,Yes,Semi-Urban
Delhi Technological University,Gujarat,Hotel-management,442594,4.0,58,Yes,Urban
Ashoka University,Haryana,Commerce,172472,4.6,41,No,Urban
Anna University,Rajasthan,Science,260415,3.6,64,Yes,Semi-Urban
Jamia Millia Islamia,Gujarat,Science,364696,3.9,68,Yes,Urban
Manipal Institute of Technology,Madhya Pradesh,Medical,234198,4.5,84,Yes,Semi-Urban
Shiv Nadar University,Delhi,Management,77608,3.8,52,No,Urban
Banaras Hindu University,Punjab,Engineering,297222,3.5,40,Yes,Urban
Ashoka University,Maharashtra,Arts,373991,3.5,65,Yes,Rural
Symbiosis Institute of Business Management,Tamil Nadu,Engineering,171155,4.3,56,No,Urban
Symbiosis Institute of Business Management,Uttar Pradesh,Arts,306713,4.8,69,No,Rural
University of Delhi,Uttar Pradesh,Engineering,149708,2.7,46,Yes,Urban
National Institute of Technology Trichy,Haryana,Arts,303803,3.2,53,No,Urban
Indian Institute of Management Ahmedabad,Karnataka,Pharmacy,306507,2.7,54,No,Semi-Urban
University of Delhi,West Bengal,Engineering,226104,2.9,91,Yes,Semi-Urban
Amity University,Delhi,Pharmacy,357833,3.5,44,No,Rural
University of Delhi,Uttar Pradesh,Arts,227564,5.0,76,Yes,Urban
Symbiosis Institute of Business Management,Rajasthan,Management,450301,3.2,81,No,Urban
Jadavpur University,Gujarat,Science,447373,3.7,54,Yes,Urban
Delhi Technological University,Madhya Pradesh,Commerce,233235,4.9,78,No,Rural
Manipal Institute of Technology,Punjab,Hotel-management,358496,3.9,60,No,Semi-Urban
Christ University,Rajasthan,Arts,489658,3.0,51,No,Urban
Birla Institute of Technology and Science,Maharashtra,Pharmacy,144457,2.6,49,No,Urban
Indian Institute of Science,Maharashtra,Medical,330544,3.2,83,Yes,Urban
Vellore Institute of Technology,Punjab,Management,300969,3.9,80,Yes,Semi-Urban
Narsee Monjee Institute of Management Studies,Punjab,Engineering,482741,3.5,91,No,Semi-Urban
SRM Institute of Science and Technology,Bihar,Engineering,413386,4.9,88,Yes,Urban
SRM Institute of Science and Technology,Uttar Pradesh,Engineering,326760,5.0,65,Yes,Rural
Jadavpur University,Punjab,Engineering,458702,3.3,69,No,Semi-Urban
Indian Institute of Science,Karnataka,Arts,311307,3.5,97,No,Rural
Indian Institute of Management Ahmedabad,Andhra Pradesh,Science,253298,4.7,96,Yes,Urban
University of Delhi,Maharashtra,Commerce,298919,3.0,95,No,Rural
Banaras Hindu University,Maharashtra,Medical,490713,4.7,98,Yes,Rural
Jadavpur University,Odisha,Science,423619,4.2,53,Yes,Semi-Urban
Christ University,Bihar,Commerce,116717,4.9,77,No,Semi-Urban
Shiv Nadar University,Madhya Pradesh,Management,383904,4.5,63,Yes,Rural
National Institute of Technology Trichy,Karnataka,Engineering,219602,4.0,90,No,Rural
Indian Institute of Management Ahmedabad,Uttar Pradesh,Science,147654,4.6,78,Yes,Rural
Narsee Monjee Institute of Management Studies,Karnataka,Pharmacy,207750,4.3,71,Yes,Urban
Banaras Hindu University,Assam,Commerce,372381,4.8,94,No,Urban
Narsee Monjee Institute of Management Studies,Assam,Pharmacy,268002,3.4,74,Yes,Semi-Urban
Indian Institute of Technology Bombay,Bihar,Arts,78781,3.1,61,No,Urban
Indian Institute of Science,Madhya Pradesh,Management,352977,3.7,51,No,Rural
National Institute of Technology Trichy,Karnataka,Arts,349850,4.3,93,Yes,Rural
Vellore Institute of Technology,Punjab,Pharmacy,107106,3.3,61,No,Urban
SRM Institute of Science and Technology,Uttar Pradesh,Engineering,152605,3.3,56,No,Urban
Anna University,Karnataka,Science,293139,4.6,84,Yes,Rural
National Institute of Technology Trichy,Bihar,Pharmacy,459553,3.4,71,No,Rural
Amity University,Assam,Arts,153141,4.2,94,Yes,Urban
Vellore Institute of Technology,Delhi,Arts,53336,2.6,81,Yes,Urban
Indian Institute of Science,Assam,Commerce,384306,4.8,69,No,Semi-Urban
University of Delhi,Karnataka,Medical,197487,4.9,88,Yes,Rural
Indian Institute of Management Ahmedabad,Punjab,Commerce,217240,3.9,55,Yes,Urban
Manipal Institute of Technology,Maharashtra,Arts,274105,3.7,42,No,Rural
Shiv Nadar University,Rajasthan,Hotel-management,277998,2.8,53,No,Urban
Manipal Institute of Technology,West Bengal,Science,420809,4.0,68,Yes,Rural
Anna University,Punjab,Hotel-management,469193,3.4,55,Yes,Rural
Christ University,Rajasthan,Arts,295883,2.5,93,No,Urban
Ashoka University,Haryana,Arts,59307,4.1,87,No,Semi-Urban
Indian Institute of Management Ahmedabad,Punjab,Hotel-management,93057,4.9,40,No,Rural
Narsee Monjee Institute of Management Studies,Gujarat,Arts,54846,3.4,70,No,Rural
Indian Institute of Technology Bombay,Madhya Pradesh,Medical,282568,4.2,82,No,Urban
Shiv Nadar University,Andhra Pradesh,Science,324146,4.5,91,No,Rural
University of Delhi,Maharashtra,Management,103591,4.4,67,No,Semi-Urban
Symbiosis Institute of Business Management,West Bengal,Medical,425878,3.7,67,Yes,Urban
Symbiosis Institute of Business Management,West Bengal,Arts,377787,4.9,85,Yes,Rural
Christ University,Karnataka,Commerce,478150,4.9,78,No,Rural
Indian Institute of Management Ahmedabad,Rajasthan,Arts,465952,3.7,72,Yes,Semi-Urban
Anna University,Karnataka,Medical,277810,4.0,63,No,Rural
Vellore Institute of Technology,Delhi,Science,444297,3.1,81,No,Urban
National Institute of Technology Trichy,Odisha,Science,345838,4.4,45,Yes,Urban
Jadavpur University,Maharashtra,Commerce,468644,3.0,86,No,Rural
Narsee Monjee Institute of Management Studies,West Bengal,Medical,391722,3.3,45,Yes,Semi-Urban
Manipal Institute of Technology,Assam,Science,362590,2.6,74,No,Rural
Indian Institute of Science,Punjab,Science,372928,4.0,84,Yes,Urban
Manipal Institute of Technology,West Bengal,Hotel-management,91931,4.8,91,Yes,Rural
Anna University,Assam,Medical,225022,2.8,91,Yes,Semi-Urban
Amity University,Andhra Pradesh,Science,84513,3.1,65,Yes,Urban
Manipal Institute of Technology,Uttar Pradesh,Pharmacy,410600,3.0,65,Yes,Urban
Birla Institute of Technology and Science,Punjab,Science,355381,2.8,46,Yes,Urban
Indian Institute of Science,Rajasthan,Arts,223884,3.3,58,No,Urban
National Institute of Technology Trichy,Haryana,Pharmacy,410342,2.8,60,Yes,Rural
Indian Institute of Management Ahmedabad,Assam,Pharmacy,235135,2.8,65,Yes,Rural
University of Delhi,Tamil Nadu,Hotel-management,269424,3.4,59,No,Rural
Delhi Technological University,Uttar Pradesh,Management,241984,4.6,89,Yes,Rural
Manipal Institute of Technology,Gujarat,Medical,495078,4.0,80,Yes,Semi-Urban
Anna University,Rajasthan,Management,399449,4.8,70,Yes,Urban
Shiv Nadar University,Tamil Nadu,Management,359953,4.6,94,Yes,Semi-Urban
National Institute of Technology Trichy,Bihar,Medical,476775,3.2,90,Yes,Rural
Shiv Nadar University,Bihar,Arts,389233,2.6,48,No,Rural
Anna University,Karnataka,Science,369981,3.3,91,Yes,Rural
Jamia Millia Islamia,Uttar Pradesh,Medical,305616,4.8,95,Yes,Urban
SRM Institute of Science and Technology,Odisha,Engineering,364529,3.4,80,Yes,Urban
Jamia Millia Islamia,Uttar Pradesh,Science,278201,4.0,56,No,Semi-Urban
Birla Institute of Technology and Science,Rajasthan,Science,66178,4.3,51,Yes,Semi-Urban
Birla Institute of Technology and Science,Tamil Nadu,Medical,223022,3.2,82,Yes,Semi-Urban
University of Delhi,Andhra Pradesh,Arts,149106,3.6,81,Yes,Rural
Manipal Institute of Technology,Gujarat,Pharmacy,243906,3.8,40,No,Rural
SRM Institute of Science and Technology,Rajasthan,Arts,234853,4.7,80,No,Urban
Manipal Institute of Technology,Odisha,Commerce,191705,2.8,81,No,Semi-Urban
Birla Institute of Technology and Science,Assam,Hotel-management,205271,4.7,94,Yes,Semi-Urban
Christ University,Delhi,Commerce,182747,2.9,62,No,Urban
Anna University,Andhra Pradesh,Medical,86499,3.4,71,No,Urban
Indian Institute of Technology Bombay,Rajasthan,Science,495198,4.6,60,No,Semi-Urban
Indian Institute of Science,Karnataka,Commerce,495204,4.2,56,Yes,Rural
Vellore Institute of Technology,Tamil Nadu,Pharmacy,264577,3.3,65,No,Semi-Urban
Jamia Millia Islamia,Andhra Pradesh,Commerce,159064,4.4,64,Yes,Semi-Urban
Delhi Technological University,Punjab,Arts,479818,3.7,59,Yes,Urban
Manipal Institute of Technology,Maharashtra,Hotel-management,76475,3.5,58,Yes,Semi-Urban
Indian Institute of Management Ahmedabad,Maharashtra,Engineering,86293,3.9,88,No,Semi-Urban
University of Delhi,Rajasthan,Commerce,213636,4.6,48,Yes,Semi-Urban
Narsee Monjee Institute of Management Studies,Maharashtra,Commerce,467458,4.6,64,Yes,Semi-Urban
Amity University,Tamil Nadu,Hotel-management,87519,4.3,40,Yes,Urban
Indian Institute of Science,Haryana,Pharmacy,348010,2.7,91,Yes,Semi-Urban
University of Delhi,Maharashtra,Medical,183860,3.1,40,No,Rural
Symbiosis Institute of Business Management,Delhi,Hotel-management,187847,4.3,88,Yes,Semi-Urban
Delhi Technological University,Madhya Pradesh,Hotel-management,492220,3.5,76,Yes,Semi-Urban
Indian Institute of Technology Bombay,Tamil Nadu,Management,236673,3.4,88,No,Semi-Urban
Banaras Hindu University,Haryana,Engineering,312222,2.8,79,Yes,Rural
Delhi Technological University,Andhra Pradesh,Hotel-management,57160,4.7,86,Yes,Urban
Indian Institute of Technology Bombay,Punjab,Science,381999,3.3,67,No,Urban
Jamia Millia Islamia,Karnataka,Medical,460771,3.5,70,Yes,Semi-Urban
Symbiosis Institute of Business Management,Maharashtra,Arts,475255,4.5,67,No,Rural
Amity University,Uttar Pradesh,Hotel-management,411068,4.9,63,No,Rural
Birla Institute of Technology and Science,Uttar Pradesh,Science,498394,3.8,62,No,Urban
Birla Institute of Technology and Science,Maharashtra,Commerce,168361,4.4,92,No,Semi-Urban
Ashoka University,Gujarat,Pharmacy,85014,3.6,95,No,Semi-Urban
Indian Institute of Science,Rajasthan,Arts,371161,3.4,89,Yes,Rural
Anna University,Delhi,Management,140914,3.1,72,No,Urban
National Institute of Technology Trichy,Maharashtra,Management,128949,3.8,69,Yes,Semi-Urban
Delhi Technological University,Punjab,Engineering,488407,3.7,56,No,Urban
National Institute of Technology Trichy,West Bengal,Medical,400568,4.5,59,Yes,Rural
Shiv Nadar University,Madhya Pradesh,Arts,337601,3.9,49,No,Urban
National Institute of Technology Trichy,Tamil Nadu,Commerce,243100,3.4,59,Yes,Rural
Jadavpur University,Maharashtra,Medical,321608,4.0,46,No,Rural
University of Delhi,West Bengal,Medical,88628,3.0,95,Yes,Rural
Indian Institute of Science,Uttar Pradesh,Medical,68273,4.8,78,Yes,Semi-Urban
Delhi Technological University,Tamil Nadu,Commerce,381409,3.9,73,Yes,Rural
Vellore Institute of Technology,Odisha,Pharmacy,100982,3.8,69,Yes,Rural
Birla Institute of Technology and Science,Gujarat,Arts,399196,4.4,91,No,Semi-Urban
Vellore Institute of Technology,Tamil Nadu,Arts,331377,4.3,81,Yes,Rural
Delhi Technological University,Punjab,Pharmacy,212526,3.4,51,No,Urban
Amity University,Madhya Pradesh,Hotel-management,101502,3.7,87,No,Semi-Urban
Jadavpur University,Gujarat,Pharmacy,499893,4.5,60,Yes,Urban
Christ University,Andhra Pradesh,Science,427487,4.6,51,No,Semi-Urban
Indian Institute of Science,Madhya Pradesh,Hotel-management,126741,3.6,51,No,Urban
Ashoka University,Assam,Arts,290207,4.0,60,Yes,Semi-Urban
Vellore Institute of Technology,Odisha,Engineering,319579,3.4,98,Yes,Rural
Ashoka University,Haryana,Commerce,122214,3.8,41,Yes,Semi-Urban
Narsee Monjee Institute of Management Studies,Tamil Nadu,Management,305154,3.0,56,No,Rural
Delhi Technological University,Delhi,Management,142122,3.3,46,Yes,Rural
Birla Institute of Technology and Science,Punjab,Hotel-management,106627,2.8,55,No,Semi-Urban
Narsee Monjee Institute of Management Studies,Uttar Pradesh,Medical,92705,3.1,96,Yes,Urban
Amity University,Madhya Pradesh,Arts,479198,2.6,48,Yes,Urban
University of Delhi,Bihar,Hotel-management,144939,4.0,46,Yes,Urban
Indian Institute of Science,Punjab,Commerce,303693,2.9,91,Yes,Rural
Indian Institute of Science,Karnataka,Hotel-management,117297,4.7,81,No,Semi-Urban
Vellore Institute of Technology,Maharashtra,Commerce,94050,3.7,70,No,Rural
Indian Institute of Management Ahmedabad,Delhi,Pharmacy,69567,2.8,51,Yes,Semi-Urban
Indian Institute of Science,Odisha,Management,271749,4.3,41,Yes,Rural
Jadavpur University,Madhya Pradesh,Commerce,120147,2.9,67,No,Rural
Indian Institute of Technology Bombay,Odisha,Hotel-management,418986,2.6,73,No,Rural
Indian Institute of Science,Bihar,Commerce,381204,3.6,47,No,Urban
Vellore Institute of Technology,Tamil Nadu,Arts,266458,4.8,76,No,Urban
Banaras Hindu University,Punjab,Pharmacy,472669,3.0,73,Yes,Rural
Jamia Millia Islamia,Uttar Pradesh,Commerce,260572,3.2,79,No,Rural
Delhi Technological University,Punjab,Engineering,475636,2.7,97,No,Rural
Indian Institute of Science,Punjab,Science,212023,4.3,59,Yes,Urban
Narsee Monjee Institute of Management Studies,Karnataka,Management,167777,3.1,47,No,Urban
University of Delhi,Maharashtra,Science,489669,3.3,85,No,Urban
Manipal Institute of Technology,Madhya Pradesh,Pharmacy,407872,2.8,83,No,Urban
